City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,guerrero negro,27.9769,-114.0611,67.93,69,100,3.33,MX,1732815493
275,cuenca,-2.8833,-78.9833,66.38,71,95,6.93,EC,1732815494
276,buri ram,14.9943,103.1039,66.07,72,57,16.91,TH,1732815495
277,cobourg,50.2667,10.9667,42.75,95,100,1.99,DE,1732815496
278,vordingborg,55.008,11.9106,42.98,86,77,17.6,DK,1732815497
279,calatayud,41.3535,-1.6432,53.24,55,0,2.42,ES,1732815498
280,worb,46.9298,7.5631,43.72,87,100,3.44,CH,1732815499
281,bogorodsk,56.1033,43.5158,27.75,98,100,1.92,RU,1732815221
282,las tablas,7.7667,-80.2833,84.18,99,79,4.05,PA,1732815501
283,ivdel',60.6911,60.4206,17.28,96,50,2.71,RU,1732815503
284,mancio lima,-7.6142,-72.8958,87.87,66,75,5.75,BR,1732815504
285,taranagar,28.6709,75.0351,65.05,22,0,7.49,IN,1732815505
286,papao,-17.75,-149.55,82.08,71,100,3.42,PF,1732815506
287,posto fiscal rolim de moura,-13.0833,-62.2667,95.81,39,78,5.79,BR,1732815507
288,qaqortoq,60.7167,-46.0333,12.83,73,38,6.17,GL,1732815508
289,ghadamis,30.1337,9.5007,63.01,31,87,8.1,LY,1732815509
290,tafuna,-14.3358,-170.72,78.75,94,75,2.3,AS,1732815510
291,mayna,54.1135,47.6231,29.61,63,100,3.6,RU,1732815511
292,georgetown,5.4112,100.3354,80.53,82,20,5.75,MY,1732815274
293,lebu,-37.6167,-73.65,59.92,58,31,12.01,CL,1732815514
294,carnarvon,-24.8667,113.6333,76.71,76,43,3.42,AU,1732815515
295,mount pearl,47.5166,-52.7813,40.14,91,75,6.91,CA,1732815474
296,kindu,-2.95,25.95,69.48,97,37,0.69,CD,1732815517
297,afega,-13.7973,-171.8531,77.0,94,75,0.0,WS,1732815518
298,quillacollo,-17.4,-66.2833,69.87,52,75,9.22,BO,1732815519
299,labytnangi,66.6572,66.4183,14.05,89,42,6.62,RU,1732815521
300,weston,26.1004,-80.3998,83.01,67,75,5.75,US,1732815522
301,sechura,-5.5569,-80.8222,64.56,94,93,16.22,PE,1732815523
302,essaouira,31.5125,-9.77,78.3,31,97,5.75,MA,1732815524
303,igrim,63.1906,64.4162,32.47,99,100,5.19,RU,1732815525
304,chonchi,-42.6128,-73.8092,58.12,63,98,6.44,CL,1732815526
305,antonio enes,-16.2325,39.9086,86.56,59,13,11.34,MZ,1732815527
306,sao francisco,-15.9486,-44.8644,91.92,39,61,2.15,BR,1732815528
307,sisimiut,66.9395,-53.6735,14.32,74,88,13.49,GL,1732815529
308,kailua-kona,19.6406,-155.9956,73.6,60,20,10.36,US,1732815531
309,plesetsk,62.708,40.2916,24.75,92,100,4.88,RU,1732815532
310,veraval,20.9,70.3667,76.15,39,0,8.21,IN,1732815533
311,al ghayzah,16.2079,52.176,78.44,72,5,6.62,YE,1732815534
312,sungai penuh,-2.0833,101.3833,66.18,97,100,3.06,ID,1732815535
313,la oliva,28.6105,-13.9291,72.79,57,0,2.3,ES,1732815536
314,karachi,24.9056,67.0822,76.82,78,0,4.61,PK,1732814999
315,ulsteinvik,62.3432,5.8487,42.75,78,85,1.99,NO,1732815539
316,robore,-18.3333,-59.75,91.49,58,40,20.71,BO,1732815540
317,sitka,57.0531,-135.33,33.69,80,40,3.44,US,1732815541
318,peruibe,-24.32,-46.9983,74.35,98,65,4.54,BR,1732815542
319,razdol'noye,45.7708,33.4878,37.02,65,100,5.95,UA,1732815543
320,klaksvik,62.2266,-6.589,43.92,77,100,13.11,FO,1732815544
321,kampala,0.3163,32.5822,62.13,94,39,2.13,UG,1732815546
322,cabedelo,-6.9811,-34.8339,86.67,64,52,13.67,BR,1732815547
323,manggar,-2.8833,108.2667,77.25,90,100,5.01,ID,1732815548
324,ghanzi,-21.5667,21.7833,82.54,11,3,10.11,BW,1732815550
325,tanjung pandan,-2.75,107.65,77.58,92,100,4.85,ID,1732815551
326,balezino,57.9796,53.0106,22.19,92,100,2.59,RU,1732815553
327,pelhrimov,49.4313,15.2234,40.59,81,88,4.0,CZ,1732815554
328,dymer,50.7865,30.3026,33.73,91,100,11.25,UA,1732815555
329,tanout,14.9709,8.8879,69.87,18,38,12.1,NE,1732815556
330,luena,-11.7833,19.9167,69.15,78,86,3.85,AO,1732815557
331,biltine,14.5333,20.9167,73.8,19,0,8.34,TD,1732815558
332,fada,7.25,4.0667,90.27,37,20,3.44,NG,1732815559
333,horqueta,-23.3428,-57.0597,99.19,34,100,10.11,PY,1732815560
334,qamdo,31.1667,97.2333,23.09,45,58,5.3,CN,1732815563
335,camana,-16.6228,-72.7111,70.66,83,99,9.42,PE,1732815564
336,port lincoln,-34.7333,135.8667,59.0,81,99,12.28,AU,1732815565
337,granbury,32.4421,-97.7942,49.55,48,40,12.66,US,1732815386
338,ambon,-3.6954,128.1814,87.24,100,40,6.91,ID,1732815568
339,floro,61.5996,5.0328,37.36,75,75,8.05,NO,1732815569
340,karatuzskoye,53.6072,92.8667,4.64,97,17,1.68,RU,1732815570
341,carnot,4.9409,15.8665,77.77,36,12,4.14,CF,1732815571
342,bogotol,56.2078,89.5342,9.66,90,16,3.94,RU,1732815572
343,mount isa,-20.7333,139.5,71.37,100,100,4.61,AU,1732815573
